CNIC,Name,Age,Sector,Street,HouseNo,Occupation
61101-0000426-6,Usman Akram,46,F-8,17,126,Artist
61101-0000427-7,Zainab Akram,47,G-9,18,127,Manager
61101-0000428-8,Bilal Akram,48,F-6,20,128,Pharmacist
61101-0000429-9,Hira Akram,49,Blue Area,22,129,Student
61101-0000430-0,Faisal Iqbal,50,G-10,23,130,Marketing
61101-0000431-1,Maryam Iqbal,51,F-8,25,131,Director
61101-0000432-2,Kamran Iqbal,52,G-9,1,132,Architect
61101-0000433-3,Sana Iqbal,53,F-6,2,133,Banker
61101-0000434-4,Tariq Iqbal,54,Blue Area,3,134,Consultant
61101-0000435-5,Rabia Iqbal,55,G-10,4,135,Scientist
61101-0000436-6,Imran Iqbal,56,F-8,5,136,CEO
61101-0000437-7,Amna Iqbal,57,G-9,6,137,Investor
61101-0000438-8,Waqas Iqbal,58,F-6,7,138,Pilot
61101-0000439-9,Noor Iqbal,59,Blue Area,8,139,Journalist
61101-0000440-0,Adnan Rauf,60,G-10,9,140,Professor
61101-0000441-1,Saira Rauf,61,F-8,10,141,Dentist
61101-0000442-2,Junaid Rauf,62,G-9,12,142,Contractor
61101-0000443-3,Lubna Rauf,63,F-6,15,143,Psychologist
61101-0000444-4,Asad Rauf,64,Blue Area,17,144,Athlete
61101-0000445-5,Neha Rauf,65,G-10,18,145,Economist
61101-0000446-6,Omer Rauf,66,F-8,20,146,Planner
61101-0000447-7,Iram Rauf,67,G-9,22,147,Researcher
61101-0000448-8,Talha Rauf,68,F-6,23,148,Entrepreneur
61101-0000449-9,Uzma Rauf,69,Blue Area,25,149,Veterinarian
61101-0000450-0,Ahmed Riaz,20,G-10,1,150,Chef
61101-0000451-1,Fatima Riaz,21,F-8,2,151,Analyst
61101-0000452-2,Ali Riaz,22,G-9,3,152,Broker
61101-0000453-3,Sara Riaz,23,F-6,4,153,Trader
61101-0000454-4,Hassan Riaz,24,Blue Area,5,154,Minister
61101-0000455-5,Ayesha Riaz,25,G-10,6,155,Administrator
61101-0000456-6,Usman Riaz,26,F-8,7,156,Engineer
61101-0000457-7,Zainab Riaz,27,G-9,8,157,Doctor
61101-0000458-8,Bilal Riaz,28,F-6,9,158,Teacher
61101-0000459-9,Hira Riaz,29,Blue Area,10,159,Lawyer
61101-0000460-0,Faisal Abbas,30,G-10,12,160,Nurse
61101-0000461-1,Maryam Abbas,31,F-8,15,161,Accountant
61101-0000462-2,Kamran Abbas,32,G-9,17,162,Designer
61101-0000463-3,Sana Abbas,33,F-6,18,163,Developer
61101-0000464-4,Tariq Abbas,34,Blue Area,20,164,Artist
61101-0000465-5,Rabia Abbas,35,G-10,22,165,Manager
61101-0000466-6,Imran Abbas,36,F-8,23,166,Pharmacist
61101-0000467-7,Amna Abbas,37,G-9,25,167,Student
61101-0000468-8,Waqas Abbas,38,F-6,1,168,Marketing
61101-0000469-9,Noor Abbas,39,Blue Area,2,169,Director
61101-0000470-0,Adnan Rashid,40,G-10,3,170,Architect
61101-0000471-1,Saira Rashid,41,F-8,4,171,Banker
61101-0000472-2,Junaid Rashid,42,G-9,5,172,Consultant
61101-0000473-3,Lubna Rashid,43,F-6,6,173,Scientist
61101-0000474-4,Asad Rashid,44,Blue Area,7,174,CEO
61101-0000475-5,Neha Rashid,45,G-10,8,175,Investor
61101-0000476-6,Omer Rashid,46,F-8,9,176,Pilot
61101-0000477-7,Iram Rashid,47,G-9,10,177,Journalist
61101-0000478-8,Talha Rashid,48,F-6,12,178,Professor
61101-0000479-9,Uzma Rashid,49,Blue Area,15,179,Dentist
61101-0000480-0,Ahmed Butt,50,G-10,17,180,Contractor
61101-0000481-1,Fatima Butt,51,F-8,18,181,Psychologist
61101-0000482-2,Ali Butt,52,G-9,20,182,Athlete
61101-0000483-3,Sara Butt,53,F-6,22,183,Economist
61101-0000484-4,Hassan Butt,54,Blue Area,23,184,Planner
61101-0000485-5,Ayesha Butt,55,G-10,25,185,Researcher
61101-0000486-6,Usman Butt,56,F-8,1,186,Entrepreneur
61101-0000487-7,Zainab Butt,57,G-9,2,187,Veterinarian
61101-0000488-8,Bilal Butt,58,F-6,3,188,Chef
61101-0000489-9,Hira Butt,59,Blue Area,4,189,Analyst
61101-0000490-0,Faisal Hameed,60,G-10,5,190,Broker
61101-0000491-1,Maryam Hameed,61,F-8,6,191,Trader
61101-0000492-2,Kamran Hameed,62,G-9,7,192,Minister
61101-0000493-3,Sana Hameed,63,F-6,8,193,Administrator
61101-0000494-4,Tariq Hameed,64,Blue Area,9,194,Engineer
61101-0000495-5,Rabia Hameed,65,G-10,10,195,Doctor
61101-0000496-6,Imran Hameed,66,F-8,12,196,Teacher
61101-0000497-7,Amna Hameed,67,G-9,15,197,Lawyer
61101-0000498-8,Waqas Hameed,68,F-6,17,198,Nurse
61101-0000499-9,Noor Hameed,69,Blue Area,18,199,Accountant
61101-0000500-0,Adnan Akhtar,20,G-10,20,200,Designer
61101-0000501-1,Saira Akhtar,21,F-8,22,201,Developer
61101-0000502-2,Junaid Akhtar,22,G-9,23,202,Artist
61101-0000503-3,Lubna Akhtar,23,F-6,25,203,Manager
61101-0000504-4,Asad Akhtar,24,Blue Area,1,204,Pharmacist
61101-0000505-5,Neha Akhtar,25,G-10,2,205,Student
61101-0000506-6,Omer Akhtar,26,F-8,3,206,Marketing
61101-0000507-7,Iram Akhtar,27,G-9,4,207,Director
61101-0000508-8,Talha Akhtar,28,F-6,5,208,Architect
61101-0000509-9,Uzma Akhtar,29,Blue Area,6,209,Banker
61101-0000510-0,Ahmed Karim,30,G-10,7,210,Consultant
61101-0000511-1,Fatima Karim,31,F-8,8,211,Scientist
61101-0000512-2,Ali Karim,32,G-9,9,212,CEO
61101-0000513-3,Sara Karim,33,F-6,10,213,Investor
61101-0000514-4,Hassan Karim,34,Blue Area,12,214,Pilot
61101-0000515-5,Ayesha Karim,35,G-10,15,215,Journalist
61101-0000516-6,Usman Karim,36,F-8,17,216,Professor
61101-0000517-7,Zainab Karim,37,G-9,18,217,Dentist
61101-0000518-8,Bilal Karim,38,F-6,20,218,Contractor
61101-0000519-9,Hira Karim,39,Blue Area,22,219,Psychologist
61101-0000520-0,Faisal Zaman,40,G-10,23,220,Athlete
61101-0000521-1,Maryam Zaman,41,F-8,25,221,Economist
61101-0000522-2,Kamran Zaman,42,G-9,1,222,Planner
61101-0000523-3,Sana Zaman,43,F-6,2,223,Researcher
61101-0000524-4,Tariq Zaman,44,Blue Area,3,224,Entrepreneur
61101-0000525-5,Rabia Zaman,45,G-10,4,225,Veterinarian
61101-0000526-6,Imran Zaman,46,F-8,5,226,Chef
61101-0000527-7,Amna Zaman,47,G-9,6,227,Analyst
61101-0000528-8,Waqas Zaman,48,F-6,7,228,Broker
61101-0000529-9,Noor Zaman,49,Blue Area,8,229,Trader
61101-0000530-0,Adnan Amin,50,G-10,9,230,Minister
61101-0000531-1,Saira Amin,51,F-8,10,231,Administrator
61101-0000532-2,Junaid Amin,52,G-9,12,232,Engineer
61101-0000533-3,Lubna Amin,53,F-6,15,233,Doctor
61101-0000534-4,Asad Amin,54,Blue Area,17,234,Teacher
61101-0000535-5,Neha Amin,55,G-10,18,235,Lawyer
61101-0000536-6,Omer Amin,56,F-8,20,236,Nurse
61101-0000537-7,Iram Amin,57,G-9,22,237,Accountant
61101-0000538-8,Talha Amin,58,F-6,23,238,Designer
61101-0000539-9,Uzma Amin,59,Blue Area,25,239,Developer
61101-0000540-0,Ahmed Qureshi,60,G-10,1,240,Artist
61101-0000541-1,Fatima Qureshi,61,F-8,2,241,Manager
61101-0000542-2,Ali Qureshi,62,G-9,3,242,Pharmacist
61101-0000543-3,Sara Qureshi,63,F-6,4,243,Student
61101-0000544-4,Hassan Qureshi,64,Blue Area,5,244,Marketing
61101-0000545-5,Ayesha Qureshi,65,G-10,6,245,Director
61101-0000546-6,Usman Qureshi,66,F-8,7,246,Architect
61101-0000547-7,Zainab Qureshi,67,G-9,8,247,Banker
61101-0000548-8,Bilal Qureshi,68,F-6,9,248,Consultant
61101-0000549-9,Hira Qureshi,69,Blue Area,10,249,Scientist
61101-0000550-0,Faisal Naqvi,20,G-10,12,250,CEO
61101-0000551-1,Maryam Naqvi,21,F-8,15,251,Investor
61101-0000552-2,Kamran Naqvi,22,G-9,17,252,Pilot
61101-0000553-3,Sana Naqvi,23,F-6,18,253,Journalist
61101-0000554-4,Tariq Naqvi,24,Blue Area,20,254,Professor
61101-0000555-5,Rabia Naqvi,25,G-10,22,255,Dentist
61101-0000556-6,Imran Naqvi,26,F-8,23,256,Contractor
61101-0000557-7,Amna Naqvi,27,G-9,25,257,Psychologist
61101-0000558-8,Waqas Naqvi,28,F-6,1,258,Athlete
61101-0000559-9,Noor Naqvi,29,Blue Area,2,259,Economist
61101-0000560-0,Adnan Khan,30,G-10,3,260,Planner
61101-0000561-1,Saira Khan,31,F-8,4,261,Researcher
61101-0000562-2,Junaid Khan,32,G-9,5,262,Entrepreneur
61101-0000563-3,Lubna Khan,33,F-6,6,263,Veterinarian
61101-0000564-4,Asad Khan,34,Blue Area,7,264,Chef
61101-0000565-5,Neha Khan,35,G-10,8,265,Analyst
61101-0000566-6,Omer Khan,36,F-8,9,266,Broker
61101-0000567-7,Iram Khan,37,G-9,10,267,Trader
61101-0000568-8,Talha Khan,38,F-6,12,268,Minister
61101-0000569-9,Uzma Khan,39,Blue Area,15,269,Administrator
61101-0000570-0,Ahmed Ali,40,G-10,17,270,Engineer
61101-0000571-1,Fatima Ali,41,F-8,18,271,Doctor
61101-0000572-2,Ali Ali,42,G-9,20,272,Teacher
61101-0000573-3,Sara Ali,43,F-6,22,273,Lawyer
61101-0000574-4,Hassan Ali,44,Blue Area,23,274,Nurse
61101-0000575-5,Ayesha Ali,45,G-10,25,275,Accountant
61101-0000576-6,Usman Ali,46,F-8,1,276,Designer
61101-0000577-7,Zainab Ali,47,G-9,2,277,Developer
61101-0000578-8,Bilal Ali,48,F-6,3,278,Artist
61101-0000579-9,Hira Ali,49,Blue Area,4,279,Manager
61101-0000580-0,Faisal Shah,50,G-10,5,280,Pharmacist
61101-0000581-1,Maryam Shah,51,F-8,6,281,Student
61101-0000582-2,Kamran Shah,52,G-9,7,282,Marketing
61101-0000583-3,Sana Shah,53,F-6,8,283,Director
61101-0000584-4,Tariq Shah,54,Blue Area,9,284,Architect
61101-0000585-5,Rabia Shah,55,G-10,10,285,Banker
61101-0000586-6,Imran Shah,56,F-8,12,286,Consultant
61101-0000587-7,Amna Shah,57,G-9,15,287,Scientist
61101-0000588-8,Waqas Shah,58,F-6,17,288,CEO
61101-0000589-9,Noor Shah,59,Blue Area,18,289,Investor
61101-0000590-0,Adnan Malik,60,G-10,20,290,Pilot
61101-0000591-1,Saira Malik,61,F-8,22,291,Journalist
61101-0000592-2,Junaid Malik,62,G-9,23,292,Professor
61101-0000593-3,Lubna Malik,63,F-6,25,293,Dentist
61101-0000594-4,Asad Malik,64,Blue Area,1,294,Contractor
61101-0000595-5,Neha Malik,65,G-10,2,295,Psychologist
61101-0000596-6,Omer Malik,66,F-8,3,296,Athlete
61101-0000597-7,Iram Malik,67,G-9,4,297,Economist
61101-0000598-8,Talha Malik,68,F-6,5,298,Planner
61101-0000599-9,Uzma Malik,69,Blue Area,6,299,Researcher
61101-0000600-0,Ahmed Ahmed,20,G-10,7,100,Entrepreneur
